fecha,hora,modelo,operacion,tiempo,input,cached_input,output,coste
2026-07-19,09:33:11,gpt-5.4-mini,importar_test_imagen,2.64,2349,0,305,0.003134
2026-07-19,09:33:13,gpt-5.4-mini,importar_test_imagen,2.55,2195,0,278,0.002897
2026-07-19,09:33:17,gpt-5.4-mini,importar_test_imagen,3.07,2195,0,301,0.003001
2026-07-19,09:33:20,gpt-5.4-mini,importar_test_imagen,3.20,2426,0,325,0.003282
2026-07-19,09:33:25,gpt-5.4-mini,importar_test_imagen,4.44,2733,0,452,0.004084
2026-07-19,09:33:27,gpt-5.4-mini,importar_test_imagen,2.07,2118,0,211,0.002538
2026-07-19,09:33:30,gpt-5.4-mini,importar_test_imagen,2.96,2272,0,314,0.003117
2026-07-19,09:33:32,gpt-5.4-mini,importar_test_imagen,1.99,2118,0,215,0.002556
2026-07-19,09:33:35,gpt-5.4-mini,importar_test_imagen,2.92,2272,1792,272,0.002928
2026-07-19,09:33:40,gpt-5.4-mini,importar_test_imagen,3.97,2195,0,250,0.002771
2026-07-19,09:33:43,gpt-5.4-mini,importar_test_imagen,3.59,2502,1792,335,0.003384
2026-07-19,09:33:47,gpt-5.4-mini,importar_test_imagen,3.11,2579,0,350,0.003509
2026-07-19,09:33:50,gpt-5.4-mini,importar_test_imagen,2.67,2272,0,204,0.002622
2026-07-19,09:33:52,gpt-5.4-mini,importar_test_imagen,2.31,2195,0,246,0.002753
2026-07-19,09:33:55,gpt-5.4-mini,importar_test_imagen,2.37,2042,0,226,0.002548
2026-07-19,09:33:57,gpt-5.4-mini,importar_test_imagen,1.88,2195,0,197,0.002533
2026-07-19,09:33:59,gpt-5.4-mini,importar_test_imagen,2.01,2272,0,221,0.002698
2026-07-19,09:34:01,gpt-5.4-mini,importar_test_imagen,1.98,2349,0,209,0.002702
2026-07-19,09:34:03,gpt-5.4-mini,importar_test_imagen,1.97,2272,0,207,0.002635
2026-07-19,09:34:06,gpt-5.4-mini,importar_test_imagen,3.10,2579,0,340,0.003464
2026-07-19,09:34:10,gpt-5.4-mini,importar_test_imagen,3.00,2272,0,288,0.003000
2026-07-19,09:34:12,gpt-5.4-mini,importar_test_imagen,2.53,2349,0,311,0.003161
2026-07-19,09:34:16,gpt-5.4-mini,importar_test_imagen,3.72,2579,0,397,0.003721
2026-07-19,09:34:19,gpt-5.4-mini,importar_test_imagen,2.61,2349,0,315,0.003179
2026-07-19,09:34:23,gpt-5.4-mini,importar_test_imagen,3.49,2272,0,262,0.002883
